tweet_id,timestamp,source,name,stage,rating,jpg_url,img_num,dog_conf,dog_breed,retweet_count,favorite_count
892177421306343426,2017-08-01 00:17:27+00:00,Twitter for iPhone,Tilly,,13.0/10.0,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,1,0.323581,Chihuahua,5276,29237
891815181378084864,2017-07-31 00:18:03+00:00,Twitter for iPhone,Archie,,12.0/10.0,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,1,0.716012,Chihuahua,3466,21983
891689557279858688,2017-07-30 15:58:51+00:00,Twitter for iPhone,Darla,,13.0/10.0,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,1,0.1680859999999999,Labrador_retriever,7197,36811
891327558926688256,2017-07-29 16:00:24+00:00,Twitter for iPhone,Franklin,,12.0/10.0,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,2,0.555712,basset,7721,35193
891087950875897856,2017-07-29 00:08:17+00:00,Twitter for iPhone,,,13.0/10.0,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,1,0.425595,Chesapeake_Bay_retriever,2589,17754
890971913173991426,2017-07-28 16:27:12+00:00,Twitter for iPhone,Jax,,13.0/10.0,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,1,0.341703,Appenzeller,1648,10336
890729181411237888,2017-07-28 00:22:40+00:00,Twitter for iPhone,,,13.0/10.0,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,2,0.566142,Pomeranian,15689,56686
890609185150312448,2017-07-27 16:25:51+00:00,Twitter for iPhone,Zoey,,13.0/10.0,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,1,0.4875739999999999,Irish_terrier,3605,24433
890240255349198849,2017-07-26 15:59:51+00:00,Twitter for iPhone,Cassie,doggo,14.0/10.0,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,1,0.511319,Pembroke,6074,27861
890006608113172480,2017-07-26 00:31:25+00:00,Twitter for iPhone,Koda,,13.0/10.0,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,1,0.957979,Samoyed,6115,26956
889880896479866881,2017-07-25 16:11:53+00:00,Twitter for iPhone,Bruno,,13.0/10.0,https://pbs.twimg.com/media/DFl99B1WsAITKsg.jpg,1,0.377417,French_bulldog,4142,24495
889665388333682689,2017-07-25 01:55:32+00:00,Twitter for iPhone,,puppo,13.0/10.0,https://pbs.twimg.com/media/DFi579UWsAAatzw.jpg,1,0.966327,Pembroke,8305,41890
889638837579907072,2017-07-25 00:10:02+00:00,Twitter for iPhone,Ted,,12.0/10.0,https://pbs.twimg.com/media/DFihzFfXsAYGDPR.jpg,1,0.99165,French_bulldog,3701,23592
889531135344209921,2017-07-24 17:02:04+00:00,Twitter for iPhone,Stuart,puppo,13.0/10.0,https://pbs.twimg.com/media/DFg_2PVW0AEHN3p.jpg,1,0.953442,golden_retriever,1874,13318
889278841981685760,2017-07-24 00:19:32+00:00,Twitter for iPhone,Oliver,,13.0/10.0,https://pbs.twimg.com/ext_tw_video_thumb/889278779352338437/pu/img/VlbFB3v8H8VwzVNY.jpg,1,0.626152,whippet,4425,22040
888917238123831296,2017-07-23 00:22:39+00:00,Twitter for iPhone,Jim,,12.0/10.0,https://pbs.twimg.com/media/DFYRgsOUQAARGhO.jpg,1,0.714719,golden_retriever,3745,25539
888804989199671297,2017-07-22 16:56:37+00:00,Twitter for iPhone,Zeke,,13.0/10.0,https://pbs.twimg.com/media/DFWra-3VYAA2piG.jpg,1,0.46976,golden_retriever,3516,22398
888554962724278272,2017-07-22 00:23:06+00:00,Twitter for iPhone,Ralphus,,13.0/10.0,https://pbs.twimg.com/media/DFTH_O-UQAACu20.jpg,3,0.700377,Siberian_husky,2865,17258
888078434458587136,2017-07-20 16:49:33+00:00,Twitter for iPhone,Gerald,,12.0/10.0,https://pbs.twimg.com/media/DFMWn56WsAAkA7B.jpg,1,0.995026,French_bulldog,2885,19105
887705289381826560,2017-07-19 16:06:48+00:00,Twitter for iPhone,Jeffrey,,13.0/10.0,https://pbs.twimg.com/media/DFHDQBbXgAEqY7t.jpg,1,0.821664,basset,4520,26541
887473957103951883,2017-07-19 00:47:34+00:00,Twitter for iPhone,Canela,,13.0/10.0,https://pbs.twimg.com/media/DFDw2tyUQAAAFke.jpg,2,0.809197,Pembroke,14962,59998
887343217045368832,2017-07-18 16:08:03+00:00,Twitter for iPhone,,,13.0/10.0,https://pbs.twimg.com/ext_tw_video_thumb/887343120832229379/pu/img/6HSuFrW1lzI_9Mht.jpg,1,0.330741,Mexican_hairless,8780,29504
